                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.07924,                0.77439,                      1,                0.18925,             0.00023727,             0.00023727,             0.00023727
                      2,                0.05188,                0.75407,                      1,                0.18888,             0.00046586,             0.00046586,             0.00046586
                      3,                0.04182,                0.75203,                      1,                0.18668,             0.00068503,             0.00068503,             0.00068503
                      4,                0.02945,                0.76423,                      1,                0.18827,             0.00067159,             0.00067159,             0.00067159
                      5,                0.01859,                0.78252,                      1,                0.18307,             0.00067159,             0.00067159,             0.00067159
                      6,                 0.0107,                0.81504,                      1,                0.17592,             0.00065745,             0.00065745,             0.00065745
                      7,                0.01031,                0.80081,                      1,                0.17761,             0.00064331,             0.00064331,             0.00064331
                      8,                  0.007,                0.77846,                      1,                 0.1804,             0.00062918,             0.00062918,             0.00062918
                      9,                0.00514,                0.79268,                      1,                 0.1777,             0.00061504,             0.00061504,             0.00061504
                     10,                 0.0039,                0.78862,                      1,                0.17899,              0.0006009,              0.0006009,              0.0006009
                     11,                0.00334,                0.78862,                      1,                 0.1777,             0.00058677,             0.00058677,             0.00058677
                     12,                0.00226,                0.79472,                      1,                0.17724,             0.00057263,             0.00057263,             0.00057263
                     13,                0.00224,                0.80285,                      1,                0.17647,             0.00055849,             0.00055849,             0.00055849
                     14,                0.00137,                0.80488,                      1,                0.17592,             0.00054435,             0.00054435,             0.00054435
                     15,                0.00165,                0.81707,                      1,                0.17544,             0.00053022,             0.00053022,             0.00053022
                     16,                0.00106,                 0.8252,                      1,                0.17361,             0.00051608,             0.00051608,             0.00051608
                     17,                  0.001,                0.80691,                      1,                0.17546,             0.00050194,             0.00050194,             0.00050194
                     18,                0.00099,                0.80488,                      1,                0.17609,              0.0004878,              0.0004878,              0.0004878
                     19,                 0.0013,                0.81504,                      1,                0.17533,             0.00047367,             0.00047367,             0.00047367
                     20,                 0.0011,                0.81301,                      1,                0.17517,             0.00045953,             0.00045953,             0.00045953
                     21,                0.00113,                0.80285,                      1,                0.17575,             0.00044539,             0.00044539,             0.00044539
                     22,                0.00092,                0.81098,                      1,                 0.1755,             0.00043126,             0.00043126,             0.00043126
                     23,                0.00098,                0.81098,                      1,                0.17462,             0.00041712,             0.00041712,             0.00041712
                     24,                 0.0009,                0.80488,                      1,                0.17557,             0.00040298,             0.00040298,             0.00040298
                     25,                0.00087,                0.81707,                      1,                0.17466,             0.00038884,             0.00038884,             0.00038884
                     26,                0.00085,                0.80691,                      1,                0.17493,             0.00037471,             0.00037471,             0.00037471
                     27,                0.00095,                0.81707,                      1,                0.17535,             0.00036057,             0.00036057,             0.00036057
                     28,                0.00086,                0.81707,                      1,                0.17425,             0.00034643,             0.00034643,             0.00034643
                     29,                0.00088,                0.81707,                      1,                0.17418,              0.0003323,              0.0003323,              0.0003323
                     30,                0.00101,                0.81504,                      1,                  0.174,             0.00031816,             0.00031816,             0.00031816
                     31,                0.00097,                0.81098,                      1,                0.17477,             0.00030402,             0.00030402,             0.00030402
                     32,                0.00084,                0.81504,                      1,                0.17447,             0.00028988,             0.00028988,             0.00028988
                     33,                0.00085,                0.81707,                      1,                0.17486,             0.00027575,             0.00027575,             0.00027575
                     34,                0.00084,                0.80894,                      1,                0.17479,             0.00026161,             0.00026161,             0.00026161
                     35,                0.00079,                0.81504,                      1,                 0.1746,             0.00024747,             0.00024747,             0.00024747
                     36,                0.00083,                0.80894,                      1,                0.17619,             0.00023334,             0.00023334,             0.00023334
                     37,                0.00085,                0.81504,                      1,                0.17563,              0.0002192,              0.0002192,              0.0002192
                     38,                0.00078,                0.81504,                      1,                0.17479,             0.00020506,             0.00020506,             0.00020506
                     39,                0.00077,                0.81301,                      1,                0.17457,             0.00019092,             0.00019092,             0.00019092
                     40,                0.00081,                0.81504,                      1,                0.17466,             0.00017679,             0.00017679,             0.00017679
                     41,                0.00081,                0.82114,                      1,                0.17414,             0.00016265,             0.00016265,             0.00016265
                     42,                0.00073,                0.82114,                      1,                0.17385,             0.00014851,             0.00014851,             0.00014851
                     43,                0.00078,                0.81707,                      1,                0.17402,             0.00013437,             0.00013437,             0.00013437
                     44,                0.00071,                0.81098,                      1,                0.17427,             0.00012024,             0.00012024,             0.00012024
                     45,                0.00072,                0.81301,                      1,                0.17481,              0.0001061,              0.0001061,              0.0001061
                     46,                0.00079,                0.81301,                      1,                 0.1745,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.00072,                0.80894,                      1,                0.17485,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.00078,                0.80894,                      1,                0.17491,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.00073,                0.81098,                      1,                0.17468,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.00065,                0.81707,                      1,                0.17411,             3.5414e-05,             3.5414e-05,             3.5414e-05
